count2019,Source_Name,RA_(J2000),Dec_(J2000),Vsys_(km/s),Lum,Class
171,IC_1361,317.8712,5.054333,3962,35,?
172,J2144+1534,326.2387,15.58056,9138,189,?
173,J2201-3746,330.3213,-37.77333,9661,?,?
174,TXS_2226-184,337.3021,-18.17972,7495,6300,?
175,UGC_12149,340.2817,32.16989,7317,?,?
176,NGC_7479,346.2361,12.32289,2381,19,?
177,IC_1481,349.8546,5.906111,6120,320,?
178,MCG+05-55-041,354.3185,31.80072,9356,93,?
179,NGC_7738,356.0083,0.5166667,6762,468,?
180,CGCG498-038,358.9342,30.21222,9240,268,?
